"","id","finish_date","year","street_number","street","cross_street","year_installed","material","diameter","leak_type","lon","lat","city","agency"
"15",15,"2014-12-02",2014,41,"FEDERAL ST","RINCON ST",1939,"CI","8","HOLE/CIRCUMFERENTIAL",-122.3917,37.7838,"SAN FRANCISCO","SF WATER"
"16",16,"2014-11-05",2014,NA,"RIO","EL SERENO",1940,"CI","4","CIRCUMFERENTIAL",-122.446366666667,37.7387055555556,"SAN FRANCISCO","SF WATER"
"17",17,"2014-11-28",2014,NA,"INDUSTRIAL","PALOU",1947,"CI","8","LONGITUDINAL",-122.401711111111,37.7395027777778,"SAN FRANCISCO","SF WATER"
"18",18,"2014-10-18",2014,NA,"MORNINGSIDE DR","GELLERT DR",1948,"CI","8","CIRCUMFERENTIAL",-122.453583611111,37.7292755555556,"SAN FRANCISCO","SF WATER"
"19",19,"2014-11-16",2014,NA,"FELTON","PERU",1950,"CI","8","CIRCUMFERENTIAL",-122.423341666667,37.7252305555556,"SAN FRANCISCO","SF WATER"
"20",20,"2014-10-03",2014,NA,"KEITH ST","KEY ST",1953,"CI","12","LONGITUDINAL/CIRCUMFERENTIAL",-122.398231944444,37.720125,"SAN FRANCISCO","SF WATER"
"21",21,"2014-11-17",2014,319,"LAIDLEY","MIGUEL",1953,"CI","12","CIRCUMFERENTIAL",-122.428438888889,37.7376583333333,"SAN FRANCISCO","SF WATER"
"22",22,"2014-12-31",2014,NA,"GLENBROOK AVE","PALO ALTO AVE",1958,"CI","8","CIRCUMFERENTIAL",-122.4511,37.7567,"SAN FRANCISCO","SF WATER"
"23",23,"2014-12-04",2014,NA,"BROTHERHOOD WAY","CHUMASERO DR",1961,"CI","8","LONGITUDINAL",-122.4736,37.7132,"SAN FRANCISCO","SF WATER"
"24",24,"2014-11-03",2014,NA,"BERTITA","SENECA",1963,"CI","8",NA,-122.440611111111,37.7184861111111,"SAN FRANCISCO","SF WATER"
"25",25,"2014-11-17",2014,33,"ALBION","15TH",1963,"CI","6","CIRCUMFERENTIAL",-122.423202777778,37.7660361111111,"SAN FRANCISCO","SF WATER"
"26",26,"2012-06-02",2012,243,"JOICE","CLAY",1865,"CI","4",NA,-122.408711111111,37.7938802777778,"SAN FRANCISCO","SF WATER"
"27",27,NA,2012,NA,"716 WALLER ST","DIVISADERO",1884,"CI","6","LONGITUDINAL",-122.436,37.7705,"SAN FRANCISCO","SF WATER"
"28",28,"2012-11-01",2012,182,"HARTFORD STREET","19TH STREET",1888,"CI","6","T",-122.433805555556,37.7596944444444,"SAN FRANCISCO","SF WATER"
"29",29,"2012-11-04",2012,NA,"25TH STREET","DOLORES",1888,"CI","8","LONGITUDINAL",-122.425916666667,37.7502222222222,"SAN FRANCISCO","SF WATER"
"30",30,NA,2012,NA,"DIAMOND ST","MARKET STREET",1891,"CI","6","LONGITUDINAL",-122.437308333333,37.7615944444444,"SAN FRANCISCO","SF WATER"
"31",31,NA,2012,NA,"3232 BUCHANAN ST","LOMBARD",1895,"CI","6","LONGITUDINAL",-122.4325,37.8,"SAN FRANCISCO","SF WATER"
"32",32,"2012-09-02",2012,NA,"CORTLAND","KINGSTON",1896,"CI","8",NA,-122.421230277778,37.7412802777778,"SAN FRANCISCO","SF WATER"
"33",33,NA,2012,NA,"DORE","FOLSOM",1901,"CI","4",NA,-122.412909444444,37.7738508333333,"SAN FRANCISCO","SF WATER"
"34",34,"2012-01-26",2012,NA,"DWIGHT","SAN BRUNO",1902,"CI","8",NA,-122.402048333333,37.7240366666667,"SAN FRANCISCO","SF WATER"
"35",35,"2012-06-08",2012,NA,"MASON ","BEACH",1905,"CI","8",NA,-122.413946944444,37.8075544444444,"SAN FRANCISCO","SF WATER"
"36",36,NA,2012,NA,"914 MINNESOTA ST","22ND ST",1905,"CI","8","CIRCUMFERENTIAL",-122.390386111111,37.7590388888889,"SAN FRANCISCO","SF WATER"
"37",37,"2012-08-01",2012,NA,"BRAZIL ","EDINBURGH",1912,"CI","8",NA,-122.430753333333,37.7227188888889,"SAN FRANCISCO","SF WATER"
"38",38,NA,2012,NA,"EUREKA","17TH STREET",1915,"CI","6","LONGITUDINAL",-122.4385,37.7623333333333,"SAN FRANCISCO","SF WATER"
"39",39,NA,2012,NA,"BAKER ST","FRANCISCO ST",1924,"CI","6",NA,-122.446263055556,37.8005322222222,"SAN FRANCISCO","SF WATER"
"40",40,"2012-08-11",2012,NA,"ROSEWOOD","RAVENWOOD",1927,"CI","6",NA,-122.460693055556,37.7344263888889,"SAN FRANCISCO","SF WATER"
"41",41,"2012-09-15",2012,NA,"CAROLINA ","18TH ST",1927,"CI","6",NA,-122.400375833333,37.7629527777778,"SAN FRANCISCO","SF WATER"
"42",42,NA,2012,NA,"CAROLINA ","MARIPOSA",1927,"CI","6","U",-122.4005,37.7635,"SAN FRANCISCO","SF WATER"
"43",43,"2012-01-17",2012,2624,"ULLOA","28TH",1928,"CI","8",NA,-122.4846825,37.7408341666667,"SAN FRANCISCO","SF WATER"
"44",44,"2012-12-18",2012,NA,"FULTON STREET","48TH AVENUE",1928,"CI","8","SPLIT",-122.5086,37.7715111111111,"SAN FRANCISCO","SF WATER"
"45",45,NA,2012,NA,"REVERE","HAWES",1928,"CI","8",NA,-122.383430833333,37.7278886111111,"SAN FRANCISCO","SF WATER"
"46",46,NA,2012,NA,"NORIEGA","20TH ST",1929,"CI","8",NA,-122.477121666667,37.7542680555556,"SAN FRANCISCO","SF WATER"
"47",47,"2012-12-21",2012,NA,"MONO STREET","19TH STREET",1930,"CI","6","SPLIT",-122.443666666667,37.7589111111111,"SAN FRANCISCO","SF WATER"
"48",48,"2012-01-02",2012,NA,"ALEMANY","ONONDAGA",1933,"CI","8",NA,-122.438466944444,37.7217127777778,"SAN FRANCISCO","SF WATER"
"49",49,"2012-11-01",2012,NA,"JERROLD ","UPTON ",1933,"CI","8","N/A",-122.400472222222,37.7451333333333,"SAN FRANCISCO","SF WATER"
"50",50,"2012-03-20",2012,NA,"FOUNTAIN","25TH ST",1934,"CI","8",NA,-122.441507222222,37.7492361111111,"SAN FRANCISCO","SF WATER"
"51",51,NA,2012,NA,"18TH STREET","CAROLINA STREET",1934,"CI","6","CIRCUMFERENTIAL",-122.4005,37.7623333333333,"SAN FRANCISCO","SF WATER"
"52",52,NA,2012,NA,"FITZGERALD","INGALLS",1934,"CI","8",NA,-122.391231388889,37.7209975,"SAN FRANCISCO","SF WATER"
"53",53,"2012-01-16",2012,50,"SHORT","MARKET",1935,"CI","6",NA,-122.443056111111,37.7578497222222,"SAN FRANCISCO","SF WATER"
"54",54,"2012-01-20",2012,NA,"26TH ST","HAMPSHIRE",1935,"CI","16",NA,-122.406946944444,37.7496894444444,"SAN FRANCISCO","SF WATER"
"55",55,"2012-01-23",2012,350,"COLLINGWOOD","21ST ST",1935,"CI","6",NA,-122.435731944444,37.7566880555556,"SAN FRANCISCO","SF WATER"
"56",56,"2012-07-27",2012,3398,"22ND","GUERRERO",1935,"ST","36",NA,-122.423119444444,37.7552233333333,"SAN FRANCISCO","SF WATER"
"57",57,"2012-12-19",2012,1430,"18TH STREET","CONNECTICUT",1935,"CI","6","CIRCUMFERENTIAL",-122.397266666667,37.7625805555556,"SAN FRANCISCO","SF WATER"
"58",58,"2012-12-26",2012,1674,"47TH AVENUE","MORAGA STREET",1935,"CI","6","CIRCUMFERENTIAL",-122.506583333333,37.7553333333333,"SAN FRANCISCO","SF WATER"
"59",59,"2012-12-27",2012,NA,"SAN BRUNO AVENUE","16TH STREET",1935,"CI","6","CIRCUMFERENTIAL",-122.4055,37.7656944444444,"SAN FRANCISCO","SF WATER"
"60",60,NA,2012,NA,"GUERRERO ST","22ND ST",1935,"ST","36","PIT HOLE",-122.423119444444,37.7551888888889,"SAN FRANCISCO","SF WATER"
"61",61,"2012-01-16",2012,166,"MAYNARD","CONGDON",1936,"CI","6",NA,-122.426783333333,37.7293916666667,"SAN FRANCISCO","SF WATER"
"62",62,"2012-01-17",2012,191,"PRENTISS","BUGINA",1936,"CI","6",NA,-122.411964444444,37.74104,"SAN FRANCISCO","SF WATER"
"63",63,"2012-12-19",2012,NA,"NEVADA STREET","POWHATTAN",1936,"CI","6","CIRCUMFERENTIAL",-122.411197222222,37.7412805555556,"SAN FRANCISCO","SF WATER"
"64",64,NA,2012,NA,"16TH ST","4TH ST",1937,"CI","16","CIRCUMFERENTIAL",-122.39075,37.7667222222222,"SAN FRANCISCO","SF WATER"
"65",65,NA,2012,1251,"CONNECTICUT","CESAR CHAVEZ",1940,"CI","6",NA,-122.396290555556,37.7504438888889,"SAN FRANCISCO","SF WATER"
"66",66,"2012-12-21",2012,NA,"NEWBURG","DUNCAN STREET",1941,"CI","6",NA,-122.4345,37.7458333333333,"SAN FRANCISCO","SF WATER"
"67",67,NA,2012,NA,"239 NEY STREET","CONGDON STREET",1941,"CI","6","LONGITUDINAL",-122.425166666667,37.7301666666667,"SAN FRANCISCO","SF WATER"
"68",68,NA,2012,NA,"2538 3RD STREET","22ND ST",1941,"CI","8","CIRCUMFERENTIAL",-122.388333333333,37.7572777777778,"SAN FRANCISCO","SF WATER"
"69",69,"2012-01-08",2012,1937,"LOMBARD","WEBSTER",1942,"CI","8",NA,-122.433347222222,37.8000736111111,"SAN FRANCISCO","SF WATER"
"70",70,"2012-12-29",2012,2533,"LOMBARD STREET","DIVISADERO STREET",1942,"CI","8","CIRCUMFERENTIAL",-122.443305555556,37.7988055555556,"SAN FRANCISCO","SF WATER"
"71",71,"2012-01-17",2012,NA,"VICENTE","39TH AVE",1944,"CI","6",NA,-122.496809166667,37.7384733333333,"SAN FRANCISCO","SF WATER"
"72",72,"2012-12-21",2012,NA,"SANCHEZ STREET","ALVARADO STREET",1944,"CI","6","CIRCUMFERENTIAL",-122.429916666667,37.7539722222222,"SAN FRANCISCO","SF WATER"
"73",73,"2012-07-18",2012,NA,"42ND AVE","RIVERA",1947,"CI","6",NA,-122.500503333333,37.7451213888889,"SAN FRANCISCO","SF WATER"
"74",74,"2012-11-02",2012,NA,"PALOU AVENUE","INDUSTRIAL STREET",1947,"CI","8","UNK",-122.400972222222,37.7398333333333,"SAN FRANCISCO","SF WATER"
"75",75,"2012-12-15",2012,464,"MOLIMO DRIVE","MYRA WAY",1947,"CI","8","CIRCUMFERENTIAL",-122.451583333333,37.7377638888889,"SAN FRANCISCO","SF WATER"
"76",76,NA,2012,NA,"400 MOLIMO DRIVE","MYRA WAY",1947,"CI","6","CIRCUMFERENTIAL",-122.4515,37.7378333333333,"SAN FRANCISCO","SF WATER"
"77",77,"2012-11-15",2012,NA,"QUINTARA STREET","28TH AVENUE",1949,"CI","8","LONGITUDINAL",-122.485166666667,37.7481666666667,"SAN FRANCISCO","SF WATER"
"78",78,"2012-12-10",2012,146,"CHICAGO WAY","SOUTH HILL BOULEVARD",1949,"CI","8","SPLIT (BREAK AT BELL)",-122.43075,37.7110277777778,"SAN FRANCISCO","SF WATER"
"79",79,"2012-12-24",2012,1,"LAPHAM WAY","CHICAGO WAY",1950,"CI","8",NA,-122.429888888889,37.7105,"SAN FRANCISCO","SF WATER"
"80",80,"2012-12-28",2012,127,"VALMAR TERRACE","PERU AVENUE",1950,"CI","6","CIRCUMFERENTIAL",-122.424444444444,37.7254722222222,"SAN FRANCISCO","SF WATER"
"81",81,"2012-01-19",2012,12,"MOLINO","TERESITA",1952,"CI","6",NA,-122.446271111111,37.7366694444444,"SAN FRANCISCO","SF WATER"
"82",82,"2012-03-13",2012,2224,"CASTRO","29TH ST",1953,"CI","12",NA,-122.433425555556,37.7439058333333,"SAN FRANCISCO","SF WATER"
"83",83,"2012-12-26",2012,251,"LAKE SHORE DRIVE","BERKSHIRE WAY",1953,"CI","8","CIRCUMFERENTIAL",-122.497305555556,37.7305555555556,"SAN FRANCISCO","SF WATER"
"84",84,NA,2012,NA,"GRAND VIEW TERRACE","GRAND VIEW AVE",1953,"CI","4",NA,-122.441191388889,37.7574288888889,"SAN FRANCISCO","SF WATER"
"85",85,"2012-01-18",2012,828,"FOERSTER","LOS PALMOS",1956,"CI","6",NA,-122.448613333333,37.7362252777778,"SAN FRANCISCO","SF WATER"
"86",86,"2012-08-15",2012,NA,"ARLINGTON","FAIRMOUNT",1956,"CI","6",NA,-122.424876388889,37.7390136111111,"SAN FRANCISCO","SF WATER"
"87",87,"2012-09-09",2012,NA,"FRANCISCO","POLK",1956,"CI","6",NA,-122.421907222222,37.8036255555556,"SAN FRANCISCO","SF WATER"
"88",88,"2012-11-14",2012,NA,"FRANCISCO","JONES",1956,"CI","6","UNK",-122.416611111111,37.80425,"SAN FRANCISCO","SF WATER"
"89",89,NA,2012,321,"MARIETTA","TERESITA",1958,"CI","8",NA,-122.443909444444,37.7392172222222,"SAN FRANCISCO","SF WATER"
"90",90,"2012-01-10",2012,1438,"FILBERT","VAN NESS",1959,"CI","4",NA,-122.423121388889,37.7996605555556,"SAN FRANCISCO","SF WATER"
"91",91,"2012-12-27",2012,1350,"UNDERWOOD AVENUE","JENNINGS STREET",1959,"CI","6",NA,-122.387138888889,37.7271666666667,"SAN FRANCISCO","SF WATER"
"92",92,"2012-01-24",2012,20,"GOLD MINE DRIVE","DIAMOND HEIGHTS BLVD",1961,"CI","4",NA,-122.437134444444,37.7438880555556,"SAN FRANCISCO","SF WATER"
"93",93,"2012-08-28",2012,NA,"SUNNYDALE","INNES",1962,"CI","12",NA,-122.409660277778,37.7101036111111,"SAN FRANCISCO","SF WATER"
"94",94,"2012-11-03",2012,10,"CIRCULAR AVENUE","BADEN STREET",1965,"CI","6","T",-122.439694444444,37.7303611111111,"SAN FRANCISCO","SF WATER"
"95",95,"2012-12-29",2012,NA,"MALTA DRIVE","STILLINGS AVENUE",1965,"CI","6","CIRCUMFERENTIAL",-122.443027777778,37.7346944444444,"SAN FRANCISCO","SF WATER"
"96",96,"2012-04-09",2012,30,"MINERVA",NA,1966,"CI","4",NA,-122.454723055556,37.7158377777778,"SAN FRANCISCO","SF WATER"
"97",97,"2012-06-20",2012,1665,"MARKET","GOUGH",1970,"DI","8",NA,-122.421771944444,37.7730594444444,"SAN FRANCISCO","SF WATER"
"98",98,NA,2012,NA,"16 MONETA CT","MONETA WAY",1975,"DI","4","U",-122.449166666667,37.7133333333333,"SAN FRANCISCO","SF WATER"
"99",99,"2012-08-26",2012,NA,"5TH ST","BERRY",1976,"DI","12",NA,-122.393335833333,37.7757422222222,"SAN FRANCISCO","SF WATER"
"100",100,"2012-11-21",2012,6,"BYRON COURT","LOWELL STREET",1977,"DI","4","T",-122.443666666667,37.7097222222222,"SAN FRANCISCO","SF WATER"
"101",101,"2012-04-25",2012,1090,"POINT LOBOS","GREAT HIGHWAY",1988,"DI","8",NA,-122.513215,37.7779538888889,"SAN FRANCISCO","SF WATER"
"102",102,"2012-05-10",2012,737,"INNES","NEWHALL",2004,"DI","6",NA,-122.388813888889,37.7394663888889,"SAN FRANCISCO","SF WATER"
"103",103,"2012-05-07",2012,NA,"CRESCENT","LEESE",2009,"DI","8",NA,-122.422938611111,37.7352627777778,"SAN FRANCISCO","SF WATER"
"104",104,NA,2012,NA,"TREASURE ISLAND",NA,NA,"CI","18","LONGITUDINAL",-122.371433333333,37.8159222222222,"SAN FRANCISCO","SF WATER"
"105",105,NA,2012,NA,"18TH ST","MISSOURI",NA,"CI",NA,NA,-122.396656944444,37.7626133333333,"SAN FRANCISCO","SF WATER"
"106",106,"2012-03-26",2012,NA,"EMBARCADERO","POWELL",NA,"PIPE ABANDONED SOMETIME IN 2012",NA,NA,-122.412569444444,37.8088155555556,"SAN FRANCISCO","SF WATER"
"107",107,"2012-04-11",2012,NA,"EMBARCADERO","MASON",NA,"PIPE ABANDONED SOMETIME IN 2012",NA,NA,-122.414093333333,37.8089047222222,"SAN FRANCISCO","SF WATER"
"108",108,NA,2012,NA,"ELLSWORTH","JARBOE",NA,"CI",NA,NA,-122.414618888889,37.7384072222222,"SAN FRANCISCO","SF WATER"
"109",109,NA,2012,NA,"JEFFERSON","EMBARCADERO",NA,"SECTION OF PIPE ABANDONED IN 2012?",NA,NA,-122.414091111111,37.8089086111111,"SAN FRANCISCO","SF WATER"
"110",110,"2010-01-26",2010,280,"VALLEY","CHURCH",1884,"CI","4",NA,-122.427,37.7445277777778,"SAN FRANCISCO","SF WATER"
"111",111,"2010-12-15",2010,2055,"FOLSOM","ENTERPRISE",1885,"CI","8",NA,-122.415138888889,37.7643888888889,"SAN FRANCISCO","SF WATER"
"112",112,"2010-12-05",2010,2852,"OCTAVIA","FILBERT",1887,"CI","6",NA,-122.428972222222,37.7984444444444,"SAN FRANCISCO","SF WATER"
"113",113,"2010-03-18",2010,NA,"ARGUELLO","EUCLID",1890,"CI","8",NA,-122.458888888889,37.7824444444444,"SAN FRANCISCO","SF WATER"
"114",114,"2010-01-28",2010,NA,"LEIDESDORFF","SACRAMENTO",1892,"CI","8",NA,-122.402138888889,37.7938611111111,"SAN FRANCISCO","SF WATER"
"115",115,"2010-11-22",2010,135,"PARK",NA,1893,"CI","6",NA,-122.422722222222,37.7365833333333,"SAN FRANCISCO","SF WATER"
"116",116,"2010-07-09",2010,NA,"BRYANT","4TH ST",1895,"CI","12",NA,-122.397888888889,37.7795,"SAN FRANCISCO","SF WATER"
"117",117,"2010-11-10",2010,755,"EDDY","VAN NESS",1895,"CI","8",NA,-122.420083333333,37.7829444444444,"SAN FRANCISCO","SF WATER"
"118",118,NA,2010,800,"FOLSOM","4TH ST",1896,"CI","12",NA,-122.401333333333,37.7819444444444,"SAN FRANCISCO","SF WATER"
"119",119,"2010-03-31",2010,354,"20TH AVE","GEARY",1897,"CI","8",NA,-122.479388888889,37.7812222222222,"SAN FRANCISCO","SF WATER"
"120",120,"2010-01-28",2010,1000,"BAY ST","EMBARCADERO",1898,"CI","16",NA,-122.406444444444,37.8065555555556,"SAN FRANCISCO","SF WATER"
"121",121,"2010-01-21",2010,2525,"LYON","GREEN",1923,"CI","2",NA,-122.446694444444,37.7942222222222,"SAN FRANCISCO","SF WATER"
"122",122,"2010-05-12",2010,NA,"CASTENADA","VENTURA",1926,"CI","8",NA,-122.462305555556,37.7509166666667,"SAN FRANCISCO","SF WATER"
"123",123,"2010-04-20",2010,50,"CAMELLIA","CASTLE MANOR",1927,"CI","6",NA,-122.431583333333,37.7296666666667,"SAN FRANCISCO","SF WATER"
"124",124,"2010-09-13",2010,258,"LAGUNA HONDA","PLAZA",1927,"CI","6",NA,-122.460555555556,37.7497777777778,"SAN FRANCISCO","SF WATER"
"125",125,NA,2010,NA,"NIAGARA","ALEMANY",1927,"CI","6",NA,-122.444055555556,37.7175277777778,"SAN FRANCISCO","SF WATER"
"126",126,"2010-01-13",2010,23,"COTTER","MISSION",1928,"CI","4",NA,-122.433444444444,37.7273888888889,"SAN FRANCISCO","SF WATER"
"127",127,"2010-01-24",2010,NA,"TOMPKINS ","GATES",1928,"CI","6",NA,-122.413861111111,37.7371388888889,"SAN FRANCISCO","SF WATER"
"128",128,"2010-02-08",2010,NA,"20TH AVE","KIRKHAM",1928,"CI","8",NA,-122.477888888889,37.7598611111111,"SAN FRANCISCO","SF WATER"
"129",129,"2010-03-25",2010,NA,"JUNIPERO SERRA","EL PLAZUELA WY",1928,"CI","8",NA,-122.471888888889,37.7268888888889,"SAN FRANCISCO","SF WATER"
"130",130,NA,2010,1105,"WISCONSIN","CONNECTICUT",1929,"CI","8",NA,-122.398527777778,37.7536111111111,"SAN FRANCISCO","SF WATER"
"131",131,"2010-07-21",2010,NA,"PALOU","GRIFFITH",1931,"CI","8",NA,-122.379833333333,37.72775,"SAN FRANCISCO","SF WATER"
"132",132,"2010-11-26",2010,925,"ROCKDALE","DEL SUR",1931,"CI","8",NA,-122.454666666667,37.7409444444444,"SAN FRANCISCO","SF WATER"
"133",133,"2010-08-25",2010,NA,"15TH AVE","ULLOA",1932,"CI","6",NA,-122.471138888889,37.7414444444444,"SAN FRANCISCO","SF WATER"
"134",134,"2010-01-25",2010,1514,"ALEMANY","COTTER",1933,"CI","8",NA,-122.435277777778,37.728,"SAN FRANCISCO","SF WATER"
"135",135,"2010-05-16",2010,NA,"BRUNSWICK","WHITTER",1933,"CI","12",NA,-122.447194444444,37.7092777777778,"SAN FRANCISCO","SF WATER"
"136",136,"2010-05-21",2010,NA,"BRUNSWICK","LOWELL",1933,"CI","12",NA,-122.446083333333,37.7096388888889,"SAN FRANCISCO","SF WATER"
"137",137,"2010-12-30",2010,138,"MADRID","PERU",1934,"CI","6",NA,-122.428555555556,37.7271666666667,"SAN FRANCISCO","SF WATER"
"138",138,NA,2010,4061,"19TH AVE","MONTECELLO",1934,"CI","6",NA,-122.470666666667,37.7154444444444,"SAN FRANCISCO","SF WATER"
"139",139,"2010-01-20",2010,27,"SATURN","LOWER TER.",1935,"CI","6",NA,-122.441444444444,37.76275,"SAN FRANCISCO","SF WATER"
"140",140,"2010-01-23",2010,559,"LISBON","RUSSIA",1935,"CI","6",NA,-122.435444444444,37.7195,"SAN FRANCISCO","SF WATER"
"141",141,"2010-01-26",2010,571,"JOOST","FORESTER",1935,"CI","12",NA,-122.448194444444,37.7323055555556,"SAN FRANCISCO","SF WATER"
"142",142,"2010-12-07",2010,NA,"ROSSI","ANZA",1935,"CI","6",NA,-122.456361111111,37.7791388888889,"SAN FRANCISCO","SF WATER"
"143",143,"2010-12-29",2010,NA,"MISSISSIPPI","22ND ST",1935,"CI","6",NA,-122.394166666667,37.7577222222222,"SAN FRANCISCO","SF WATER"
"144",144,NA,2010,NA,"28TH ST","CASTRO",1935,"CI","6",NA,-122.432222222222,37.745,"SAN FRANCISCO","SF WATER"
"145",145,NA,2010,NA,"CAPITOL","SADOWA",1935,"CI","16",NA,-122.458944444444,37.71225,"SAN FRANCISCO","SF WATER"
"146",146,NA,2010,558,"JOOST",NA,1935,"CI","12",NA,-122.447944444444,37.7323055555556,"SAN FRANCISCO","SF WATER"
"147",147,"2010-03-18",2010,NA,"22ND AVE","EUCALYPTUS",1936,"CI","4",NA,-122.476972222222,37.732,"SAN FRANCISCO","SF WATER"
"148",148,"2010-03-22",2010,NA,"EUCALYPTUS","22ND AVE",1936,"CI","4",NA,-122.477166666667,37.7311666666667,"SAN FRANCISCO","SF WATER"
"149",149,"2010-05-19",2010,45,"MARGARET","LAKEVIEW",1936,"CI","6",NA,-122.451861111111,37.7182777777778,"SAN FRANCISCO","SF WATER"
"150",150,"2010-06-20",2010,NA,"CHURCH","24TH ST",1936,"CI","12",NA,-122.427444444444,37.7516388888889,"SAN FRANCISCO","SF WATER"
"151",151,"2010-06-24",2010,231,"MOULTRIE","POWHATTAN",1936,"CI","6",NA,-122.415694444444,37.7411666666667,"SAN FRANCISCO","SF WATER"
"152",152,"2010-06-24",2010,39,"WOOL","EUGEINA",1936,"CI","6",NA,-122.416305555556,37.7413055555556,"SAN FRANCISCO","SF WATER"
"153",153,"2010-11-25",2010,330,"ANDOVER","ELLERT",1936,"CI","6",NA,-122.416583333333,37.7383333333333,"SAN FRANCISCO","SF WATER"
"154",154,"2010-12-03",2010,300,"MORAGA","9TH AVE",1936,"CI","6",NA,-122.465722222222,37.7566388888889,"SAN FRANCISCO","SF WATER"
"155",155,"2010-12-27",2010,659,"ELLSWORTH","CRESCENT",1936,"CI","6",NA,-122.414861111111,37.7351388888889,"SAN FRANCISCO","SF WATER"
"156",156,NA,2010,NA,"22ND AVE","EUCALYPTUS",1936,"CI","4",NA,-122.477444444444,37.73175,"SAN FRANCISCO","SF WATER"
"157",157,"2010-10-27",2010,55,"BEMIS","MIGUEL",1937,"CI","6",NA,-122.429472222222,37.7378055555556,"SAN FRANCISCO","SF WATER"
"158",158,"2010-02-23",2010,653,"BOWDOIN",NA,1939,"CI","6",NA,-122.411194444444,37.7275833333333,"SAN FRANCISCO","SF WATER"
"159",159,"2010-02-02",2010,NA,"JEFFERSON","LEAVENWORTH",1944,"CI","8",NA,-122.419333333333,37.8061388888889,"SAN FRANCISCO","SF WATER"
"160",160,NA,2010,NA,"EMBARCADERO","POWELL",1946,"CI","8",NA,-122.414361111111,37.8089166666667,"SAN FRANCISCO","SF WATER"
"161",161,"2010-02-07",2010,50,"PHELAN","OCEAN",1948,"CI","12",NA,-122.452333333333,37.7244166666667,"SAN FRANCISCO","SF WATER"
"162",162,"2010-01-12",2010,231,"LOOMIS","WATERLOO",1949,"CI","12",NA,-122.405305555556,37.7405833333333,"SAN FRANCISCO","SF WATER"
"163",163,"2010-01-21",2010,442,"ORIZABA","MONTANA",1950,"CI","8",NA,-122.462611111111,37.7168055555556,"SAN FRANCISCO","SF WATER"
"164",164,"2010-11-27",2010,84,"ROBINSON","LAPHAM",1950,"CI","6",NA,-122.429333333333,37.7086944444444,"SAN FRANCISCO","SF WATER"
"165",165,"2010-01-30",2010,41,"GREENVIEW","DELLBROOK",1956,"CI","4",NA,-122.451777777778,37.7530833333333,"SAN FRANCISCO","SF WATER"
"166",166,"2010-12-26",2010,30,"WINDING ST","ROLPH",1958,"CI","6",NA,-122.432194444444,37.7110277777778,"SAN FRANCISCO","SF WATER"
"167",167,"2010-01-26",2010,325,"LOS PALMOS","STANFORD HEIGHTS AVE",1959,"CI","6",NA,-122.450611111111,37.73575,"SAN FRANCISCO","SF WATER"
